vypocet nCr
100C1 1000
100C4 39212250
100C7 160075608000
100C10 173103094564400
100C13 71105424997992000
100C16 13458606290468146500
100C19 1323415729392122674000
100C22 73320668851776562692000
100C25 2425192697203371210155040
100C28 49988137020347265252051000
100C31 663246383068634237960472000
100C34 5807174297208894094869814500
100C37 34200295474939381439027376000
100C40 137462341458028115012673697200
100C43 381165328959867279453342024000
100C46 734709981908149973439050568000
100C49 989130828878080326811887228000
100C52 932065588750498769495816811000
100C55 614484712141361795967205929600
100C58 282588088711625741663684604000
100C61 90139240300346304926343408000
100C64 19772045821449329894437701750
100C67 2946924270225408943665279000
100C70 293723398216109448239637600
100C73 19173532007804430507636000
100C76 797760755659003687551000
100C79 20418414110621321256000
100C82 306645108029882083000
100C85 2533384713499886400
100C88 10504210511067000
100C91 19022318084000
100C94 11920524000
100C97 1617000
100C100 10
