32        48 0      64 @      80 P      96 `      92 \      112 p      
33 !      49 1      65 A      81 Q      97 a      93 ]      113 q      
34 "      50 2      66 B      82 R      98 b      94 ^      114 r      
35 #      51 3      67 C      83 S      99 c      95 _      115 s      
36 $      52 4      68 D      84 T      100 d      96 `      116 t      
37 %      53 5      69 E      85 U      101 e      97 a      117 u      
38 &      54 6      70 F      86 V      102 f      98 b      118 v      
39 '      55 7      71 G      87 W      103 g      99 c      119 w      
40 (      56 8      72 H      88 X      104 h      100 d      120 x      
41 )      57 9      73 I      89 Y      105 i      101 e      121 y      
42 *      58 :      74 J      90 Z      106 j      102 f      122 z      
43 +      59 ;      75 K      91 [      107 k      103 g      123 {      
44 ,      60 <      76 L      92 \      108 l      104 h      124 |      
45 -      61 =      77 M      93 ]      109 m      105 i      125 }      
46 .      62 >      78 N      94 ^      110 n      106 j      126 ~      
47 /      63 ?      79 O      95 _      111 o      107 k      127 ent     
